date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:59	723/723	---MC-	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2022:48:57%20GMT	http://www.cheppstory.com/	/home/boss/websites/South%20Korea/www.cheppstory.com/index.html	(from )
00:49:01	152/152	---MC-	200	added ('OK')	text/plain	date:Mon,%2008%20Jan%202018%2022:48:59%20GMT	https://ottiya.com/robots.txt		(from )
00:49:01	151744/151744	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2022:48:58%20GMT	https://www.limesecos.com/	/home/boss/websites/South%20Korea/www.limesecos.com/index.html	(from )
00:49:01	2839/2839	---M-Z	200	added ('OK')	text/html	etag:%22929b590f86ce1b2480b9d9a54b170a24%22	https://jmade.co/	/home/boss/websites/South%20Korea/jmade.co/index.html	(from )
00:49:02	87956/87956	---MC-	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2022:49:00%20GMT	https://ottiya.com/	/home/boss/websites/South%20Korea/ottiya.com/index.html	(from )
00:49:03	5842/5842	---MC-	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2022:49:01%20GMT	https://gmpg.org/xfn/11	/home/boss/websites/South%20Korea/gmpg.org/xfn/11.html	(from https://ottiya.com/)
00:49:04	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jan%202018%2022:49:04%20GMT	http://s0.wp.com/	/home/boss/websites/South%20Korea/s0.wp.com/index.html	(from https://ottiya.com/)
00:49:08	20912/20912	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2022:49:04%20GMT	http://secure.gravatar.com/	/home/boss/websites/South%20Korea/secure.gravatar.com/index.html	(from https://ottiya.com/)
00:49:08	0/0	---M--	200	added ('OK')	binary/octet-stream	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	http://maxcdn.bootstrapcdn.com/	/home/boss/websites/South%20Korea/maxcdn.bootstrapcdn.com/index.html	(from https://ottiya.com/)
00:49:09	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2022:49:08%20GMT	http://fonts.googleapis.com/	/home/boss/websites/South%20Korea/fonts.googleapis.com/index.html	(from https://ottiya.com/)
00:49:09	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2008%20Jan%202018%2022:49:09%20GMT	http://s.w.org/	/home/boss/websites/South%20Korea/s.w.org/index.html	(from https://ottiya.com/)
